source,source_type,target,target_type,relation,weight,event_time
H007512,host,img-cdn-helper.cn,domain,connect_to,1,2026-07-01 09:03:12
H008154,host,jd.com,domain,connect_to,2,2026-07-01 09:09:20
H009691,host,taobao.com,domain,connect_to,1,2026-07-01 09:32:35
H004394,host,jd.com,domain,connect_to,2,2026-07-01 09:33:32
H004775,host,weibo.com,domain,connect_to,1,2026-07-01 09:52:20
H001796,host,taobao.com,domain,connect_to,2,2026-07-01 10:19:01
H003910,host,baidu.com,domain,connect_to,2,2026-07-01 10:49:50
H000117,host,bilibili.com,domain,connect_to,2,2026-07-01 11:33:50
H001419,host,jd.com,domain,connect_to,3,2026-07-01 14:52:50
H004763,host,qq.com,domain,connect_to,3,2026-07-01 16:01:12
H001269,host,bilibili.com,domain,connect_to,1,2026-07-01 16:36:04
H000763,host,taobao.com,domain,connect_to,1,2026-07-01 17:07:32
H002223,host,jd.com,domain,connect_to,2,2026-07-01 17:52:08
H004564,host,baidu.com,domain,connect_to,1,2026-07-01 18:03:51
H003785,host,weibo.com,domain,connect_to,1,2026-07-01 18:08:18
H000564,host,weibo.com,domain,connect_to,2,2026-07-01 18:51:04
H008154,host,zhihu.com,domain,connect_to,3,2026-07-02 09:34:11
H009170,host,baidu.com,domain,connect_to,2,2026-07-02 10:38:28
H004394,host,baidu.com,domain,connect_to,2,2026-07-02 11:48:13
H002907,host,baidu.com,domain,connect_to,1,2026-07-02 11:59:40
H004360,host,zhihu.com,domain,connect_to,1,2026-07-02 12:03:51
H004950,host,weibo.com,domain,connect_to,3,2026-07-02 12:11:51
H005614,host,github.com,domain,connect_to,1,2026-07-02 14:27:43
H007030,host,baidu.com,domain,connect_to,2,2026-07-02 14:45:16
H002223,host,bilibili.com,domain,connect_to,1,2026-07-02 15:49:01
H004816,host,zhihu.com,domain,connect_to,1,2026-07-02 17:23:36
H009982,host,zhihu.com,domain,connect_to,1,2026-07-02 17:44:28
H006747,host,taobao.com,domain,connect_to,1,2026-07-02 17:55:10
H001819,host,jd.com,domain,connect_to,1,2026-07-02 18:08:45
H001721,host,qq.com,domain,connect_to,1,2026-07-02 18:38:46
H009500,host,jd.com,domain,connect_to,1,2026-07-02 19:08:27
H006738,host,weibo.com,domain,connect_to,3,2026-07-02 19:53:11
H003533,host,jd.com,domain,connect_to,1,2026-07-02 20:08:34
H000987,host,qq.com,domain,connect_to,2,2026-07-02 20:23:44
H006419,host,bilibili.com,domain,connect_to,2,2026-07-02 20:52:50
H004956,host,bilibili.com,domain,connect_to,2,2026-07-03 07:38:23
H004717,host,zhihu.com,domain,connect_to,2,2026-07-03 10:02:39
H003043,host,weibo.com,domain,connect_to,2,2026-07-03 10:51:52
H000527,host,taobao.com,domain,connect_to,1,2026-07-03 11:31:58
H009816,host,baidu.com,domain,connect_to,2,2026-07-03 11:31:59
